Well identifier	Surface	MD
1001	BAJ	3020.60
1001	top_J1-2	3022.00
1001	base_J1-2	3027.60
1001	top_J1-3A	3037.40
1001	base_J1-3A	3048.40
1001	top_J1-3	3048.40
1001	base_J1-3	3060.20
1002	BAJ	3109.60
1002	top_J1-2	3111.40
1002	base_J1-2	3116.40
1002	top_J1-3A	3125.00
1002	base_J1-3A	3132.80
1002	top_J1-3	3133.80
1002	base_J1-3	3146.80
1003	BAJ	3136.80
1003	top_J1-2	3138.60
1003	base_J1-2	3145.20
1003	top_J1-3A	3155.00
1003	base_J1-3A	3160.20
1003	top_J1-3	3160.20
1003	base_J1-3	3178.40
102	BAJ	2849.00
102	top_J1-2	2850.60
102	base_J1-2	2855.20
102	top_J1-3A	2863.00
102	base_J1-3A	2868.00
102	top_J1-3	2868.00
102	base_J1-3	2887.00
104	BAJ	2968.60
104	top_J1-2	2969.80
104	base_J1-2	2973.80
104	top_J1-3A	2981.00
104	base_J1-3A	2984.80
104	top_J1-3	2984.80
104	base_J1-3	3002.40
124	BAJ	2902.20
124	top_J1-2	2903.40
124	base_J1-2	2908.60
124	top_J1-3A	2914.80
124	base_J1-3A	2919.40
124	top_J1-3	2919.40
124	base_J1-3	2939.40
1302	BAJ	3216.00
1302	top_J1-2	3217.20
1302	base_J1-2	3220.40
1302	top_J1-3A	3226.20
1302	base_J1-3A	3231.00
1302	top_J1-3	3231.00
1302	base_J1-3	3244.80
1303	BAJ	3122.40
1303	top_J1-2	3124.60
1303	base_J1-2	3127.80
1303	top_J1-3A	3135.60
1303	base_J1-3A	3140.00
1303	top_J1-3	3140.00
1303	base_J1-3	3153.60
1304	BAJ	3359.60
1304	top_J1-2	3361.00
1304	base_J1-2	3365.20
1304	top_J1-3A	3370.60
1304	base_J1-3A	3376.40
1304	top_J1-3	3376.40
1304	base_J1-3	3389.00
1307	BAJ	3131.10
1307	top_J1-2	3134.40
1307	base_J1-2	3142.00
1307	top_J1-3A	3148.20
1307	base_J1-3A	3152.40
1307	top_J1-3	3152.40
1307	base_J1-3	3166.80
1309	BAJ	3091.60
1309	top_J1-2	3094.40
1309	base_J1-2	3098.40
1309	top_J1-3A	3104.20
1309	base_J1-3A	3111.20
1309	top_J1-3	3111.20
1309	base_J1-3	3123.60
1310	BAJ	3333.20
1310	top_J1-2	3335.20
1310	base_J1-2	3339.00
1310	top_J1-3A	3345.00
1310	base_J1-3A	3351.40
1310	top_J1-3	3351.40
1310	base_J1-3	3363.80
1311	BAJ	3069.90
1311	top_J1-2	3071.60
1311	base_J1-2	3073.90
1311	top_J1-3A	3079.70
1311	base_J1-3A	3086.20
1311	top_J1-3	3086.20
1311	base_J1-3	3099.00
1312	BAJ	2732.70
1312	top_J1-2	2734.30
1312	base_J1-2	2736.10
1312	top_J1-3A	2742.50
1312	base_J1-3A	2748.00
1312	top_J1-3	2748.00
1312	base_J1-3	2761.30
1313	BAJ	2779.80
1313	top_J1-2	2781.00
1313	base_J1-2	2784.20
1313	top_J1-3A	2789.80
1313	base_J1-3A	2795.40
1313	top_J1-3	2795.40
1313	base_J1-3	2808.20
1321	BAJ	2688.40
1321	top_J1-2	2689.60
1321	base_J1-2	2693.80
1321	top_J1-3A	2698.40
1321	base_J1-3A	2703.40
1321	top_J1-3	2703.40
1321	base_J1-3	2717.80
1323	BAJ	3264.20
1323	top_J1-2	3266.20
1323	base_J1-2	3271.40
1323	top_J1-3A	3276.20
1323	base_J1-3A	3283.40
1323	top_J1-3	3283.40
1323	base_J1-3	3294.60
1324	BAJ	2879.70
1324	top_J1-2	2880.90
1324	base_J1-2	2884.50
1324	top_J1-3A	2889.80
1324	base_J1-3A	2895.40
1324	top_J1-3	2895.40
1324	base_J1-3	2908.60
1325	BAJ	3120.80
1325	top_J1-2	3121.90
1325	base_J1-2	3125.70
1325	top_J1-3A	3130.20
1325	base_J1-3A	3135.87
1325	top_J1-3	3135.87
1325	base_J1-3	3150.80
1326	BAJ	2696.40
1326	top_J1-2	2697.70
1326	base_J1-2	2701.00
1326	top_J1-3A	2706.40
1326	base_J1-3A	2711.70
1326	top_J1-3	2711.70
1326	base_J1-3	2723.20
1327	BAJ	2883.20
1327	top_J1-2	2884.50
1327	base_J1-2	2886.70
1327	top_J1-3A	2892.60
1327	base_J1-3A	2899.10
1327	top_J1-3	2899.10
1327	base_J1-3	2911.20
156	BAJ	2876.40
156	top_J1-2	2877.20
156	base_J1-2	2883.00
156	top_J1-3A	2890.80
156	base_J1-3A	2895.20
156	top_J1-3	2895.20
156	base_J1-3	2912.20
170	BAJ	2777.20
170	top_J1-2	2778.00
170	base_J1-2	2786.40
170	top_J1-3A	2792.80
170	base_J1-3A	2798.20
170	top_J1-3	2798.20
170	base_J1-3	2814.40
176_1	BAJ	2719.20
176_1	top_J1-2	2720.40
176_1	base_J1-2	2731.60
176_1	top_J1-3A	2734.60
176_1	base_J1-3A	2739.60
176_1	top_J1-3	2739.60
176_1	base_J1-3	2756.20
177	BAJ	2891.80
177	top_J1-2	2893.20
177	base_J1-2	2904.90
177	top_J1-3A	2907.90
177	base_J1-3A	2914.00
177	top_J1-3	2914.00
177	base_J1-3	2928.90
177_1	BAJ	2742.40
177_1	top_J1-2	2743.60
177_1	base_J1-2	2750.80
177_1	top_J1-3A	2757.20
177_1	base_J1-3A	2762.20
177_1	top_J1-3	2762.20
177_1	base_J1-3	2771.00
187	BAJ	2751.00
187	top_J1-2	2752.20
187	base_J1-2	2758.20
187	top_J1-3A	2765.80
187	base_J1-3A	2771.00
187	top_J1-3	2771.00
187	base_J1-3	2788.80
188	BAJ	2737.20
188	top_J1-2	2738.20
188	base_J1-2	2742.60
188	top_J1-3A	2750.80
188	base_J1-3A	2755.70
188	top_J1-3	2755.70
188	base_J1-3	2772.40
190P	BAJ	2672.80
190P	top_J1-2	2673.80
190P	base_J1-2	2679.40
190P	top_J1-3A	2685.80
190P	base_J1-3A	2691.60
190P	top_J1-3	2691.60
190P	base_J1-3	2705.80
191	BAJ	2727.60
191	top_J1-2	2728.60
191	base_J1-2	2732.80
191	top_J1-3A	2741.60
191	base_J1-3A	2747.30
191	top_J1-3	2747.30
191	base_J1-3	2763.60
191P	BAJ	2643.40
191P	top_J1-2	2644.80
191P	base_J1-2	2647.80
191P	top_J1-3A	2654.00
191P	base_J1-3A	2657.60
191P	top_J1-3	2659.80
191P	base_J1-3	2668.60
192P	BAJ	2674.00
192P	top_J1-2	2675.80
192P	base_J1-2	2678.40
192P	top_J1-3A	2688.60
192P	base_J1-3A	2690.40
192P	top_J1-3	2691.80
192P	base_J1-3	2704.60
193P	BAJ	2688.20
193P	top_J1-2	2690.60
193P	base_J1-2	2694.20
193P	top_J1-3A	2699.60
193P	base_J1-3A	2706.00
193P	top_J1-3	2707.60
193P	base_J1-3	2717.00
194P	BAJ	2691.40
194P	top_J1-2	2692.40
194P	base_J1-2	2694.00
194P	top_J1-3A	2700.20
194P	base_J1-3A	2706.80
194P	top_J1-3	2713.40
194P	base_J1-3	2717.40
195P	BAJ	2674.00
195P	top_J1-2	2674.80
195P	base_J1-2	2678.80
195P	top_J1-3A	2684.40
195P	base_J1-3A	2692.20
195P	top_J1-3	2692.20
195P	base_J1-3	2703.00
196P	BAJ	2690.20
196P	top_J1-2	2691.40
196P	base_J1-2	2697.00
196P	top_J1-3A	2702.40
196P	base_J1-3A	2711.20
196P	top_J1-3	2711.20
196P	base_J1-3	2720.80
197P	BAJ	2672.40
197P	top_J1-2	2674.20
197P	base_J1-2	2676.40
197P	top_J1-3A	2681.00
197P	base_J1-3A	2688.80
197P	top_J1-3	2688.80
197P	base_J1-3	2701.60
198P	BAJ	2691.20
198P	top_J1-2	2692.80
198P	base_J1-2	2696.40
198P	top_J1-3A	2702.60
198P	base_J1-3A	2712.00
198P	top_J1-3	2714.60
198P	base_J1-3	2721.40
199P	BAJ	2664.60
199P	top_J1-2	2666.20
199P	base_J1-2	2669.00
199P	top_J1-3A	2677.00
199P	base_J1-3A	2685.40
199P	top_J1-3	2685.40
199P	base_J1-3	2695.40
200P	BAJ	2662.80
200P	top_J1-2	2664.20
200P	base_J1-2	2665.00
200P	top_J1-3A	2670.00
